type,count
university,11036
residential,10639
commercial,8429
retail,6380
park,2351
garden,1591
school,1324
construction,735
parking,688
place_of_worship,685
hospital,565
research_institute,356
mall,225
grass,142
forest,127
zoo,112
apartments,104
military,88
train_station,87
transportation,75
religious,57
industrial,34
works,33
pitch,32
library,29
government,27
brownfield,25
hotel,23
toilets,23
yes,14
bus_station,14
museum,12
monument,10
restaurant,10
tea,9
fuel,9
police,8
garages,8
meadow,8
railway,5
bank,5
semidetached_house,4
house,3
public_building,3
roof,2
department_store,2
college,2
supermarket,2
office,1
bicycle_parking,1
convenience,1
