type,count
university,2181731
commercial,880664
residential,669686
park,383708
attraction,82691
retail,78497
research_institute,74759
train_station,63580
parking,50855
forest,49090
railway,46456
nature_reserve,40584
construction,39456
school,36610
industrial,35362
hospital,31362
apartments,30911
garden,26586
mall,16637
brownfield,15075
military,11503
zoo,10069
college,9105
hotel,8935
driver_training,8728
grass,8442
sports_centre,6872
bicycle_parking,5525
office,5210
police,5193
driving_school,5118
airfield,4956
transportation,4843
electronics,4749
house,4705
fuel,4502
bus_station,3747
place_of_worship,3117
golf_course,2785
museum,2482
library,2235
supermarket,2154
meadow,2043
pitch,2010
research,1925
historic_area,1698
theme_park,1655
department_store,1179
music_school,1152
kindergarten,1026
fire_station,729
yes,714
government,688
governmental,682
works,644
garages,642
tunnel,620
arts_centre,596
civic_admin,585
restaurant,536
ruins,476
marketplace,472
recreation_ground,412
stadium,370
telecommunication,318
dormitory,258
religious,236
public_building,233
farmland,197
bank,195
citywalls,192
cheese,165
farmyard,147
water_works,146
roof,141
gift,140
community_centre,136
wastewater_plant,108
toilets,104
warehouse,96
greenfield,93
planetarium,86
orchard,84
social_facility,75
water_park,69
hostel,68
bungalow,48
recycling,47
ice_rink,46
plant_nursery,46
gasometer,42
cinema,40
theatre,36
courthouse,36
wall,35
city_gate,32
bicycle_rental,31
flowerbed,30
tea,29
pharmacy,26
grave_yard,24
ticket,22
car,21
fitness_centre,19
dentist,17
monument,17
clinic,15
service,14
fitness_station,13
fast_food,13
cemetery,12
track,12
winter_sports,10
grandstand,10
waste_transfer_station,10
books,10
car_wash,9
landfill,8
nightclub,8
funeral_directors,7
convenience,6
furniture,4
resort,4
fountain,4
tower,4
public,4
semidetached_house,4
greenhouse_horticulture,4
garage,4
building,3
pumping_station,3
apartment,3
cafe,2
education,2
parking_space,2
clothes,1
hut,1
civic,1
monitoring_station,1
memorial,1
public_bookcase,1
post_office,1
playground,1
nursing_home,1
shelter,1
tomb,1
vehicle_inspection,1
kiosk,1
