name,count
Chengfu Road,736
北三环东路,667
中关村东路,615
香山路,587
Zhichun Road,504
颐和园路,464
北四环西路辅路,461
安定路,453
北四环东路,419
北三环西路,396
Zhixin Road,381
Xinggui Road,376
北三环中路,359
中关村南四街,306
North 3rd Ring Road,289
Anhua Road,274
Wangzhuang Road,268
京承高速,237
Outer Andingmen Str,236
Inner Andingmen Str,235
Zhongguin Village East Road,213
S. Jiaodaokou Str,210
安定门外大街,210
北四环西路,207
Beichen West Road,205
Zhongguancun North Street,200
Mei Chang Street,194
Kexueyuan South Road,181
Zhongguancun Main Street,174
知春路,174
North 4th Ring Road,167
Qinghua East Road,141
太阳宫中路,134
阜通西大街辅路,133
Meishouguanhou Str,132
东升南路,126
Anxiang North Road,119
Datun road,119
Wangfujing Street,103
Jiaodaokou South Street,96
Xiangshan Road,94
同庆街,88
Beichen Donglu,83
中关村大街,82
Xiaowei Alley,80
Anzhen Road,75
利泽中一路,72
望京北路,71
利泽西街,69
Lize Middle 2nd Road,68
一棵松路,68
Heqing Road,66
北四环中路,58
广顺北大街辅路,50
安翔桥,48
Meishouguan Back Street,48
Anding Lu,42
宏昌路辅路,42
香宾路,39
Yi He Yuan Road,38
Guang Shun North Street,38
Yongan Bridge,37
红枫路,36
海淀三山五园绿道,34
财经东路,33
望京西路,33
Yonghegong Street,29
五道口北巷,29
North Middle 3rd Ring Road,28
E. Meishouguan Str,28
宏昌路,28
Andingmenwai Street,28
Jinyu Hutong,27
Waiguanxie,25
香山南路,25
North 4rd Ring Road,23
溪阳中路,22
辛店路,21
G6辅路,20
慧忠路,19
宫门前街,19
Jian'an Donglu,19
Dagexiang,17
阜通西大街,17
容瑞路,16
Anding Road,15
Xiang-Quan Roundabout,15
Zaojunmiao Road,15
丰益仓路,15
Dongdan Santiao,14
Fangjia Alley,14
中关村南三条,14
"Sicence Parc South, Middle Road",12
成府路,12
枫林路,10
Qingniangou Road,10
Zhongguancun South Road,10
Jiaodaokoubei Toutiao,10
清华南路,9
中关村北一条,9
安贞西里环路,8
国家体育场北路,8
Xueyuan Road,8
Longfusi Street,8
Zhongguancun Street,7
北上坡路,7
求知路,7
安贞路,6
广润路,6
帅府园胡同,6
Yongkang Alley,6
Jiaodaokoubei Ertiao,6
大泥湾路,6
North Shuangyushu Road,5
青龙桥东街,5
安河桥大街,5
北土城东路,5
遗光寺路,5
宏泰西街辅路,4
和平里北街,4
科翔路,4
西坝河路,4
西坝河西路,4
荷清路,4
Hepingli Zhong Str,4
望京北路辅路,4
South Third Zhongguancun Street,4
Dengshikou Str,3
Beijing-Lasa Expwy,3
北太平庄路,3
South Kexueyuan Road,3
Datun Road,3
Jiaodaokou East Street,3
Lincui Road,3
报房胡同,3
利泽西二路,3
East Dianmen Street,3
WangJing Road,3
中关村南一条,3
大运村路,3
中关村南一街,2
宏泰西街,2
Ganyu Hutong,2
Baishu Hutong,2
Wudaoying Alley,2
Huangsi Str,2
Zhang Zizhong Road,2
望京街,2
京承高速辅路,2
大阮府胡同,2
N. Taiyanggong Str,2
卧龙东路,2
小西门内大街,2
East Zhongguancun Road,2
E. Jiaodaokou Str,2
燕东园北小街,1
West 5th Ring Road,1
Meizha Alley,1
