name,count
Zhichun Road,326699
中关村东路,272662
北四环西路,170412
North 4th Ring Road,162363
Chengfu Road,136291
北四环中路,128004
Zhongguin Village East Road,127750
北四环东路,119926
望京西路,96901
G6辅路,81885
Zhongguancun Main Street,80714
知春路,72043
北土城西路,67949
小营路,67197
北四环西路辅路,65702
North 3rd Ring Road,65450
北三环西路,65431
Huixin Dongjie,62945
Beijing-Lasa Expwy,62235
太阳宫中路,61179
North 5th Ring Road,60921
South Zhongguancun Street,60192
中关村南三街,57672
Haidian South Road,56342
Zhongguancun North Street,55075
中关村南四街,48840
Airport Expressway,48622
北三环东路,48475
Zhongguancun South Road,46574
北三环中路,46246
Beichen West Road,46064
Tianshuiyuan Street,45493
西四环北路,45417
Xinggui Road,41853
万泉河路,41774
Xueqing Road,38069
苏州街,37755
An Li road,36571
青塔西路,34426
Shuangqing Road,31681
颐和园路,31290
N 4th Ring Rd. E,30877
京承高速,28626
西三环,28111
西三环北路,26489
Xinxi Road,26276
East Dazhongsi Road,25805
East 4th Ring Road,25451
Xueyuan Road,25308
Xizhimen Avenue,25249
中关村大街,25199
西四环中路,25033
北苑中街,24929
E 3rd Ring Road,23688
西直门北大街,23310
金台路,23130
东三环北路,21739
E. Hepingli Str,21532
Zhanlanguan Road,21253
北土城东路,20896
West 5th Ring Road,20708
Fuxing Road,19939
阜通西大街辅路,18376
北京-港澳高速公路,18159
展览馆路,18105
德胜门外大街,17774
Wenhuiyuan Road,17667
W. Hepingli Str,17647
京开高速,17588
通燕高速,17165
复兴路,17063
West Chang'an Street,16793
Heqing Road,16406
Hongjunying Est Road,16389
South 5th Ring Road,16358
月泉路,16313
闵庄路,16256
South Xueyuan Road,16106
圆明园西路,16015
北辰路,15955
南四环西路,15836
Qinghua East Road,15591
East Chang'an Street,15304
East 5th Ring Road,15135
东三环中路,14650
大运村路,14447
东直门南小街,14405
和平里东街,14292
N. Fuchengmen Str,14263
Jingmi Road,14263
North 4rd Ring Road,13804
Beiqingyun Lu,13465
西直门外大街,13449
东四环中路,13423
花园北路,13337
阜石路,13234
Nanlishi Road,13214
Zizhuyuan Road,13141
Dongzhimen North,13109
京开高速辅路,13068
Kexueyuan South Road,12702
Beiyuan road,12575
东四环北路,12500
西二环,12442
Jiuxianqiao Road,12438
中关村北大街辅路,12091
Sanlihe Road,11923
来广营西路,11884
N 4th Ring Rd. W,11854
农大南路,11351
Fuxingmen Inner Avenue,11326
Zhixin Road,11322
Dahuisi Road,11297
西四环南路,11204
Beichen Donglu,11163
Kehui Road,10885
Jianguo Road,10682
海淀路,10673
North Shuangyushu Road,10571
莲石东路,10522
Xuanwumen Inner Avenue,10499
Fushi Road,10401
莲花池东路,10363
中关村南三条,10346
Outer Fuchengmen Str,10293
香山路,10230
西三环中路,10204
程庄路,9930
Lize Road,9926
西土城路,9827
Yongding Road,9620
花园东路,9591
Sanlihe East,9585
安立路,9512
阜成门外大街,9347
Yingxia Street,9337
Chang Chun Qiao Road,9312
Huixin Xijie,9299
South Chaoyang Park Road,9117
Fuxingmen Outer Avenue,9034
Qingniangou Road,9023
Xingjiekou South Street,8929
广顺南大街辅路,8870
Datun road,8770
石门路,8748
Xinjiekouwai Street,8719
Jingkai Expressway,8706
Jianguomen Outer Avenue,8568
Anding Lu,8536
Jingtong Expressway,8518
Nongyeguan South Street,8379
Dongzhong Jie,8307
East Zhongguancun Road,8217
Daliushu Road,8159
Baiwanzhuang Str,8137
Xing Shi Kou Road,7875
Gongrentiyuchang North Road,7792
地安门东大街,7784
Yuan Da Road,7740
Dongsishitiao Street,7622
Huajiadi Jie,7525
Xizhimen North Street,7524
N. Xisi Str,7446
North Chaoyang Road,7394
Dongzhimen Outer Street,7380
Chaoyang Road,7323
京密路,7247
南湖南路,7244
Jianguomen Inner Avenue,7193
Inner Andingmen Str,7185
南湖西园南路,7176
Shijingshan Road,7108
志新西路,7073
南湖中园二条,6928
South Kexueyuan Road,6873
Baiyun Road,6655
Outer Andingmen Str,6611
广安路,6423
